"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
288375.06375553,287077.883717793,286364.689941703,283143.753862284,288526.672667932,277562.865412041,286474.234100591,288420.600188119,281331.988948075,283136.582072579,279425.184755477,268054.600459275,281513.485188614,284289.699046408,274914.461623411,280636.651755364,277909.743777271,289479.363505375,280664.603436534,279426.910754763,285284.294536953,277936.891343214,278684.438328472,293527.029279205,283102.532971983,274392.817191935,284523.20815393,287298.687122973,275755.269098508,284218.734816191,279439.661113634,291374.148174259,280390.391527681,278107.985888123,282447.084596909,282155.466760279,277462.147448084,286469.962165208,279180.589469142,281499.880090481,284187.357357426,281604.899596874,282082.849642557,282119.321670061,273198.861210421,274651.55600348,281057.133474653,284992.353894359,281370.534519112,287329.385516423,283582.279641327,278984.047484388,275909.183151826,279818.794915081,280313.742677401,288522.99837057,282905.737088067,279113.169941626,285783.043550087,288959.085703294,280241.195171879,289004.907927128,282164.106281111,278173.306408001,275870.613637185,290948.377364213,271004.19011569,278111.793137375,280262.740109818,274489.307788426,283009.25171648,266304.801169091,275881.379404729,288928.601527187,286659.816397083,284751.594284212,287889.10456092,289033.906267347,286369.287250363,267559.504840243,283154.712968711,285808.81683517,285448.746886661,287905.280648655,280713.690773845,285107.858016168,270564.689655235,285356.74432253,283423.81710674,282518.761195127,292000.417804019,280304.907266572,284261.599801136,272776.18194154,271347.8505096,291394.984214296,276448.998736658,273837.772154356,274590.694051496,277281.418390494,1990
285909.016562783,284661.370827429,283162.195571207,280452.321704889,286064.9694331,275293.616520657,283351.748754155,285647.022429385,278647.684088485,280690.123361307,276899.355495331,265948.723553387,279053.210391292,281235.067090488,272353.908614542,277818.492478686,275382.515928026,286609.076310676,278305.998033518,277175.803269189,282341.116919067,275571.758722787,275896.910449202,290459.968605256,280846.144741174,271579.705395496,281914.365193386,284724.628681202,273504.225802757,281495.220218354,276943.248691082,288286.965527079,278194.984544107,274978.059486431,279644.441061965,279375.539612533,275035.998247323,283332.516874376,276162.690573425,278884.634390336,281554.945876829,278763.067190412,279724.342974463,279598.133236518,271061.894008675,272028.146327404,278017.707217291,282915.052711766,278400.69567964,284502.224277574,281379.544629307,275893.347231907,273169.745080725,277924.322955724,277586.732246663,285607.800553607,280365.967190184,276494.629979878,283252.515535075,286448.300722253,277426.590200711,286335.740268049,279624.600663949,275635.290055527,273345.617346446,288154.039962429,268531.529527982,275901.723810992,277571.140816108,271665.674268499,280345.393422427,264413.244817151,273640.426170719,286075.37755416,283850.805819832,281973.577097044,285449.952321813,286624.476791457,283578.072813646,265381.205310211,280563.556518627,282774.155853622,283203.205566741,285066.474522685,278554.057915129,282181.780566086,268197.347415499,282408.539941542,281164.776378713,279919.162140517,289636.632015439,277803.021170687,282090.605945684,270670.00450533,269411.847226714,288346.145120018,273874.364066361,270900.230493689,272159.038162161,274791.473011552,1990.5
281923.525177887,280394.417218419,278866.780541314,276541.768774786,281800.769330506,271580.117394048,278486.822118292,281243.208114194,274577.459464089,276463.418521006,272637.434318265,262139.904271551,275394.366702509,276492.828255571,268235.699990769,273486.160761332,271530.541453164,282643.158978472,273927.475451049,273145.105266293,277666.374856102,271593.030804241,271719.555107275,286077.936697819,276446.437658715,267506.048740671,277793.541021128,280447.198186387,269638.102906118,276807.806779418,272717.000568237,283321.482633565,274284.392048909,270356.69767882,275345.786910774,274879.227545179,270759.015928122,278535.292814276,271431.265936176,274570.113944266,277192.801004092,274046.578919469,275723.390386631,275876.667811064,267232.317871157,268034.563613623,273586.064601258,279080.085587833,274048.413634664,280290.933124121,277313.852731699,271162.510582192,269101.374678515,273929.461710696,273265.215181875,281382.780860592,276501.053836165,272401.61705972,279050.965239631,281980.461401441,273219.29188225,281696.667154327,275493.591986121,271956.052106165,269033.979718295,283729.449880952,264700.080048734,272137.085197697,273495.09377195,267782.555162264,276017.186679294,260746.539304419,270075.528707247,281833.996773471,279306.072440901,277768.172882439,281168.451184056,282175.131265688,279354.380719067,261748.495276281,275943.777667855,278326.064793014,279007.241732033,280607.257155055,274502.298149654,277276.839780138,264643.029944687,277759.497555224,277057.969057047,275368.766399303,285674.366542351,273529.913693126,278113.57480435,266695.421588282,265347.667393561,283985.669735135,269634.881613485,266788.378522998,268449.410566547,270545.598940021,1991
275493.787300645,274933.137352689,273096.739867783,270885.768215392,275946.737294818,265991.338330816,272028.960013393,275129.282305499,268967.163663228,270434.039963202,266630.163329973,257189.755537167,269821.152431995,270450.831661952,262745.352784443,267615.904801112,266716.042377773,276683.621455321,268362.530571765,267606.154185144,271339.423401479,265955.182018757,265671.22685506,279821.264860324,270536.780280992,261578.136940024,272221.869055943,274300.174710871,263511.761020313,270380.86625932,266958.919716822,276863.017240995,269123.292651219,264018.724126276,269537.895848005,268230.685867203,265128.583595557,271819.28984757,264959.418288789,268386.394913914,271370.695887636,267909.29715431,269748.766723973,270179.997050394,262073.488145309,261986.95988067,267052.562605076,273078.270191641,268398.877232825,274307.658604301,271047.278017143,265148.081026565,263772.401435147,268318.34958016,266952.14394585,275410.880123628,270835.154634296,266421.080639265,273312.855041833,275773.75644993,267480.969273467,275917.563233299,269744.639703772,266464.081108296,263393.588200695,277635.83273649,259146.056412,266667.797169006,268029.564395976,261971.043526262,270191.996763327,255455.643741658,264885.565138645,275634.749972831,272866.085027943,271718.930563676,275327.457077898,276174.271350211,272753.352452538,256432.128115117,269836.305867654,272530.295755806,272977.690689224,274650.958957591,268663.162175832,271078.662757334,259248.529121924,271674.937650363,271463.609781348,269325.163446872,279952.903843662,267257.868606715,272089.547091023,261983.290440672,260330.103745749,277963.089776665,263452.176555567,260922.324654169,262865.498505908,264085.376848088,1991.5
268104.204831304,267446.278307734,266260.87258103,263718.008734265,268708.495377537,258721.352619915,264492.534807177,267427.003608941,261707.542259135,263040.553773399,259428.231710376,250831.152224233,262939.761212791,263286.538250694,255853.913962849,260181.160389143,259772.57497248,269178.06802182,261279.935221977,260350.718237517,263833.238709509,258327.860925245,258814.677242456,272288.549434237,263286.966676729,253875.700239268,265006.800610245,266821.708579843,257160.887810251,262469.415833264,259808.28970568,269493.000042377,261815.221199091,256884.784407464,262474.977843232,260257.926210071,257666.718178035,263809.2854348,257442.819684575,261349.291324772,263904.43273023,260641.101118874,262030.164963078,263344.270514843,255403.37665394,254943.719460832,259471.349157869,266178.039987908,261898.667358293,267078.674384574,263988.343560606,257799.633799653,256813.585886457,261272.495049425,259115.410512746,268022.876544131,264413.113211921,259073.441097332,266300.547321305,267582.521884267,260037.647650466,268647.150424979,262681.790918026,259299.528999738,256462.909868911,270571.997434307,252256.139739548,259680.800989083,261059.872796861,255311.422430494,263418.878913845,248867.236774232,258392.069433993,267742.346455217,265156.71329448,264680.867292522,268053.658828142,269011.588379827,265793.754911222,249803.237125693,262211.785508557,264910.35127161,265468.016278705,266961.673179635,261406.898150712,263075.788156132,253245.047537198,264336.598055424,264289.47927212,261695.403919514,272257.233579495,260313.576538141,265087.660703306,255173.7864558,254205.380532127,270300.240593566,256152.497012667,253756.638095596,256042.786262883,256670.872262269,1992
258671.882002722,258574.328155237,257658.869458421,255171.378943746,259818.627239283,250602.582695532,255457.037190992,258384.445487191,253097.587422966,254088.867491839,251256.960099309,243166.261931832,254417.215611396,254362.682517183,247198.050321014,251464.819238214,251748.696750734,260733.930273709,252949.354932238,251579.409980486,254996.907274062,250037.520736128,250789.161457272,263148.244141042,254577.033825586,244732.678919794,256162.401597003,257780.259134966,249053.151056064,253760.59024477,251454.013461628,260337.537490559,253274.432351429,248676.205480909,253487.723601511,251665.177165881,249079.313538473,254218.07149006,249175.314013082,252620.181023027,255843.179290094,252067.988172457,252809.654963762,254652.805321144,247662.160455615,246491.4876024,250954.220818313,258236.20345157,253681.08699156,258353.928524689,255282.85437276,249162.051427284,248616.26497844,252673.321501944,250004.219222352,259770.670762112,256084.343943557,250666.185675642,257640.558858574,258318.233204237,251747.458425543,260127.034132049,253989.851741473,251174.235917534,248339.536490462,261918.447185779,244314.416298999,251133.840227028,252597.033465415,247674.069343645,254608.250451832,241290.156477341,250146.12689746,258331.390488994,256339.696056454,256196.59553652,258806.703300861,259646.284791147,256943.929379389,242117.487960442,253003.369525152,256120.127042311,256406.919847957,258778.922977681,252887.928256553,253845.23406992,245216.235255058,256184.053853562,255760.573307269,252697.223030311,263569.541365076,252252.460514041,256848.319668662,246743.343590961,246508.330251451,261780.666281287,247357.929857015,245523.585941766,247916.412409157,247248.15973432,1992.5
249119.268846783,248434.337763767,248365.387769075,245339.965924417,249507.814916274,241180.826950141,245316.193802494,248009.379085915,243260.783959077,244477.92418227,241282.49433055,233833.156041963,245087.452340914,244103.54244132,237199.668246171,241613.705193922,242363.607419131,250637.787287014,243854.722317516,241919.467006707,245161.667896145,240780.010904818,241592.165524699,253070.844102262,244916.323873507,234771.68758363,246246.084651108,248087.208127482,239829.66690799,243587.538045109,242159.323662989,250372.49014356,243831.925070092,239421.675145415,243116.48841953,241964.15554239,239987.619476598,244435.281263991,239362.714377527,243129.609901057,246446.718121236,242623.51525395,242909.047740106,245111.279826962,238951.212638462,236701.991312013,241237.12928805,248720.540543204,244029.597484454,249310.427562205,245616.802704878,239355.867828173,239357.359891456,243459.146445906,240261.688462492,249878.531414378,246095.586759866,241775.602240834,247803.174760105,247852.397476548,242450.636306166,250820.713719552,244062.284687254,241425.464889823,239285.291984267,251749.602124629,234875.695929015,241191.298465248,242828.170822916,239080.482144416,244635.598036843,232625.096342774,240566.013373946,248302.216836731,246180.695779873,246307.806169944,249862.5670598,249753.355922314,247879.207506361,233195.469889714,242755.135580107,246372.123844798,246440.891905085,249094.40211273,243651.081624235,243552.190962856,235956.255490039,246604.984986748,246000.38486401,242787.394044708,253270.806024305,242546.789773818,247284.39768665,237317.741710586,237743.303210185,252640.188196968,238129.213926135,236009.472297843,238921.335229702,237582.157158863,1993
238449.169376846,237828.852273746,237649.216934642,235201.830822865,238021.677530314,230992.573017923,234397.385860462,236745.532822396,232521.422843622,234267.909010884,230530.061032268,224539.343253673,234215.145969958,232629.774725143,226427.31134204,230559.569271426,232034.071227638,239938.294859435,234124.262763956,231656.754944032,234576.015394679,230299.849911026,231141.540488283,242173.771475291,234168.688778903,223530.600228642,235197.470661785,237040.891156416,229408.860786264,232577.721312565,231046.934959807,239450.816220364,233080.460295362,229401.422863635,232188.424720851,230927.329295742,229898.445903248,233456.331565189,229057.48388565,232497.084796971,235890.542079263,232176.658100835,232459.438151182,234522.571622491,229286.370644389,226012.829103533,230636.53949529,238198.050059941,233141.695253809,238202.41073734,234726.454771791,228455.991030601,228140.260172239,232496.385313732,229102.861555537,238978.325323359,235614.01404536,231961.655125816,237059.792585835,236472.158752846,232204.741934864,240025.30106062,234267.654396051,230964.202629758,229273.624008277,240629.363177276,224787.206785654,230146.749235656,233041.256155075,229143.545214234,233819.323281494,222703.463136789,230283.080627685,236966.642089461,235137.696976673,235283.935216139,239411.014886275,238521.369349835,237256.895869217,223396.325065511,231740.132971924,235257.181529599,235105.096013182,238867.723223322,233182.885902495,232153.454276635,225651.614965164,236169.97291447,234962.637759787,231825.56482899,242560.550484407,232071.314953293,236560.597704253,227028.952767425,228368.055442175,242179.767313026,228048.015151731,225998.860802222,229240.041410833,226379.484198203,1993.5
226914.601396792,226143.892079331,226734.093270603,224055.327475469,226711.837453127,220016.531553979,223044.016222671,224891.838885517,221472.909571644,223183.963608171,219376.0394484,214636.42721893,222228.575329384,220915.742282108,215371.670667022,219360.245815255,221255.297162811,228011.235799235,223730.795386981,220287.456992381,223219.793699187,218707.750056962,220889.574675743,230358.3674527,222843.509276124,211992.480423679,223524.635341061,225348.300822893,218692.898548237,221026.556073662,219810.479078599,227777.370086399,221553.442225331,218645.816541796,220664.059877118,220137.621252746,219494.111099599,222214.942410526,217911.116905032,221125.005046171,223984.883243666,221087.313874296,221296.898278861,223432.821874188,218328.983690805,214905.735847488,218788.887287362,226962.845764716,222208.411311144,227421.199480352,224094.45579703,217459.230711241,217100.36654657,221554.21034278,217792.58489516,226903.674605859,224820.330893874,221440.649545738,225373.279342044,224864.321265837,221057.174591787,228719.390053665,223184.423413698,220449.155398461,218289.392963789,229392.726288291,214122.860455958,219439.806182791,221783.463692529,218368.767874861,222446.800122455,212353.51394001,219416.417401172,225867.463039446,223893.719634233,223710.746950019,227717.765100001,226690.689642966,226389.381493101,213240.251048865,220304.460618336,223804.359568854,223173.578046319,228400.741902014,221556.428310239,221433.526422593,214940.440165818,225097.253525229,223511.574962626,220392.64791895,230418.139923408,220975.490151691,225274.752386797,216452.318700098,217971.929623045,230996.523233851,217217.236750449,215367.490197109,218132.24210076,215629.024187378,1994
215680.706225605,215069.431517443,215927.700054795,213235.393216496,215134.135863933,208920.38183031,211525.689115703,212937.342853223,211142.180280084,211792.979146087,208374.630665009,204666.304794242,210631.244213528,209024.934724516,204526.432333215,208121.170519427,209944.531354022,216675.344336802,212975.422417419,209684.050120616,212241.841305498,208464.410687721,210190.131312025,217974.701368323,211648.708508926,200947.255603325,212340.42381319,213569.638066654,207993.339393323,210122.602069683,208938.975209395,216767.563841595,211304.158009143,208019.399970243,209594.51614908,209283.094649343,208966.966606321,211025.628811358,206974.429395946,210476.965028794,212456.121720995,210130.654703772,210142.623976198,212338.96231458,207629.983555594,204184.547853359,208204.404630982,215656.931565544,210778.863222379,216203.673160652,212881.006418585,206318.108565277,206280.298529106,210859.169384501,207317.334240313,215257.037158223,214334.490718432,210908.194462627,214019.633228209,213437.574063073,209819.108409848,217406.698034841,212508.797136611,209013.693570796,207628.180029661,217988.243342085,204056.859149386,208307.314278377,210586.83655956,207740.695332522,211781.911850406,202336.620938474,209222.326049806,214528.559619164,213160.827681252,212723.948629194,216571.774834622,215106.324321517,214882.806793936,203416.590328168,209204.397509362,212852.103970238,212261.820186988,217051.202242258,210433.845818931,210797.722335769,204982.513528038,213949.601502709,211712.9012708,209363.42174821,218296.663957181,209014.655408073,214033.163018439,205734.761886416,208205.775549606,219510.947606915,206217.833243624,204414.487298689,207385.09236576,204559.595814804,1994.5
