"replist1","replist2","replist3","replist4","replist5","replist6","replist7","replist8","replist9","replist10","replist11","replist12","replist13","replist14","replist15","replist16","replist17","replist18","replist19","replist20","replist21","replist22","replist23","replist24","replist25","replist26","replist27","replist28","replist29","replist30","replist31","replist32","replist33","replist34","replist35","replist36","replist37","replist38","replist39","replist40","replist41","replist42","replist43","replist44","replist45","replist46","replist47","replist48","replist49","replist50","replist51","replist52","replist53","replist54","replist55","replist56","replist57","replist58","replist59","replist60","replist61","replist62","replist63","replist64","replist65","replist66","replist67","replist68","replist69","replist70","replist71","replist72","replist73","replist74","replist75","replist76","replist77","replist78","replist79","replist80","replist81","replist82","replist83","replist84","replist85","replist86","replist87","replist88","replist89","replist90","replist91","replist92","replist93","replist94","replist95","replist96","replist97","replist98","replist99","replist100","Label","Yr"
9976.22,9850.7,9946.99,9768.65,9919.03,9524.16,9837.19,9890.91,9939.48,9708.05,9531.57,9284.22,9730.36,9942.14,9483.43,9811.38,9683.97,9891.03,9664.7,9606.09,9818.96,9659.51,9688.78,10197.4,9842.28,9589.22,9747.47,9915.07,9599.5,9762.44,9691.99,10043.4,9572.87,9737.21,9709.07,9572.05,9573.9,9920.11,9785.25,9681.96,9934.02,9737.02,9709.91,9841.64,9319.26,9338.24,9569.98,9817.96,9856.11,9894.09,9782.13,9632.75,9615.82,9599.94,9822.86,9894.31,9714,9758.73,9836.48,9999.98,9566.37,9861.3,9781.97,9676.41,9504.34,10127.7,9449.55,9392.63,9615.2,9515.1,9829.86,9149.4,9605.48,10000.3,9770.39,9815.65,10003.8,10123.8,9922.01,9262.08,9878.42,9966.98,9762.33,9903.74,9669.13,9882.82,9318.26,10061.6,9769.94,9755.88,9985.62,9736.21,9808.2,9394.18,9340.29,9955.03,9616.51,9493.5,9429.68,9692.57,"Recr_Virgin",1988
9976.22,9850.7,9946.99,9768.65,9919.03,9524.16,9837.19,9890.91,9939.48,9708.05,9531.57,9284.22,9730.36,9942.14,9483.43,9811.38,9683.97,9891.03,9664.7,9606.09,9818.96,9659.51,9688.78,10197.4,9842.28,9589.22,9747.47,9915.07,9599.5,9762.44,9691.99,10043.4,9572.87,9737.21,9709.07,9572.05,9573.9,9920.11,9785.25,9681.96,9934.02,9737.02,9709.91,9841.64,9319.26,9338.24,9569.98,9817.96,9856.11,9894.09,9782.13,9632.75,9615.82,9599.94,9822.86,9894.31,9714,9758.73,9836.48,9999.98,9566.37,9861.3,9781.97,9676.41,9504.34,10127.7,9449.55,9392.63,9615.2,9515.1,9829.86,9149.4,9605.48,10000.3,9770.39,9815.65,10003.8,10123.8,9922.01,9262.08,9878.42,9966.98,9762.33,9903.74,9669.13,9882.82,9318.26,10061.6,9769.94,9755.88,9985.62,9736.21,9808.2,9394.18,9340.29,9955.03,9616.51,9493.5,9429.68,9692.57,"Recr_Initial",1989
19060.7,18038.1,18196.3,16274.2,15987.2,18186.3,17517.4,16229.5,20497.3,15324.2,19379.2,17349.9,16666.5,18853.8,19719,22017,20376.9,16651.4,16485.8,20119.1,19787.9,19387.2,18416,15628,20021.4,21315,19268.3,18228.6,18049.9,20080.2,21404.2,17935,19107.6,20803.1,16687.1,19593.6,21543.2,20544.2,20873.8,18973.1,18513.3,20360.8,20049.5,20156.1,19703.3,18860.5,21687.7,15948.8,17116,19235,17433.4,19243,20676.1,20057.2,19867.9,18985.1,21293.3,19418.6,18126.6,18527.4,18948.3,15943.6,18799.5,19742,17565.4,15835.6,21659.1,18243.3,18742.9,18612.7,19085.3,21002.1,17589.4,17068.9,20747.6,18555.9,18214.7,18557.3,17151.2,21741.7,21966.4,21701.8,19020.5,15542,20503.9,22883.1,21563.5,20965.6,18556.1,21378.2,15164.5,19678.6,17785.7,18120.9,18410.2,17460.9,18184,19992.7,19243.7,18438.9,"Recr_1990",1990
5877.15,3812,4279.28,3969.21,4760.25,4056.68,4559.84,4433.71,4301.04,5157.81,3848.5,4908.8,4167.02,4208.39,5806.37,4661.58,4487.66,4104.64,4446.62,4747.88,5065.04,3780.65,3249.89,5249.66,4563.81,6574.85,3706.84,5647.83,4354.66,4599.51,4693.36,4359.15,4281.08,3730.92,4275.32,3938.89,3461.59,3410.62,4898.43,3740.36,3871.88,3269.75,4822.78,5795.82,4607.99,4717.4,5252.98,4178.89,3512.53,4503.49,3818.48,6160.22,5946.26,4348.54,4845.01,2902.96,3642.64,4709.07,3293.25,4694.95,4411.52,4053.02,4055.98,3554.8,3328.63,3022.83,4512.4,4603.86,5432.29,5362.59,3307.7,4442.64,4241.47,4679.28,4745.49,4966.64,4591.81,3387.86,6998.49,3512.91,6182.24,3126.2,3648.01,4107.98,5022.82,4378.77,4527.49,4355.06,5190.37,3125.51,5064.86,5301.95,3766.87,4852.04,2757.01,3307.53,4241.73,4685.54,5432.58,4808.96,"Recr_1991",1991
9193.42,8661.57,7142.95,8398.74,6159.96,7471.56,8166.24,7431.16,8139.53,8376.62,7886.32,7611.11,8775.81,8481.7,5719.91,7619.23,7751.13,7128.34,7201.45,7121.31,5876.61,7826.07,8020.96,7209.92,8601.72,7054.85,7959.27,6507.26,8690.92,7435.02,8079.03,7766.69,7909.49,10283.1,6936.68,6512.57,8310.11,5486.8,7527.33,9004.61,7369.58,8288.43,6692.64,8318.76,7903.48,9388.76,7646.46,7824.19,8242.7,6002.95,7077.02,9664.33,6770.32,6438.03,6423.08,5990.12,6637.28,8711.29,9115.72,9754.76,5759.81,6749.27,7399.04,9056.69,8268.59,7924.16,6605.87,8897.92,7073.67,8423.23,8121.19,9991.45,7515.23,9370.36,9078.5,8868.26,6947.01,7116.98,6617.56,6938.48,7473.26,6917.09,7981.58,7191.68,9069.5,7255.88,8220.31,5810.14,5979.79,8066.44,8829.04,7491.73,8343.8,8270.19,6785.24,8113.26,8228.22,9074.16,8522,9597.37,"Recr_1992",1992
4775.33,6587.09,5995.37,7784.13,8373.77,7403.86,8756.57,8396.75,8251.62,7824.84,6899.55,7151.89,8676.65,7897.86,7223.39,7928.11,7117.7,6815.01,8493.33,7394.78,8463.88,6006.35,7480.14,7267.47,8096.27,7233,6734.31,7456.22,6380.35,10595.2,7452.76,8885.19,7790.95,7276.25,6657.94,6408.33,7007.93,8382.95,7053.17,8542.21,6992.39,4770.13,7304.89,8514.77,6883.31,8140.84,5610.19,8213.02,6985.37,6249.48,6872.61,7752.43,8434.04,8297.27,6891.2,7809.92,7148.23,7151.69,6595.54,6955.6,6440.75,5497.73,6696.51,7221.69,7924.78,7764.23,9741.69,6065.51,6836.7,7392.75,8322.25,6389.16,8101.01,6574.99,7680.07,6643.26,8261.36,5869.75,6638.4,8187.7,6014.37,7532.24,7823.79,7858.57,6691.06,8283.58,8194.87,6591.53,6432.15,7432.37,6134.72,7342.67,8435.63,8764.74,7892.37,6798.19,7419.36,8393.77,7463.57,6380.81,"Recr_1993",1993
5996.92,5689.83,5992.11,7255.14,5590.19,4937.9,5826.54,5709.39,7230.43,6374.05,5684.03,6061.4,5534.25,5561.4,6108.94,6369.25,6387.41,5873.07,6036.71,6127.86,5873.64,7303.44,5154.4,6503.34,4864.47,6429.5,7441.53,6539.21,6168.5,5131.94,5702.06,5185.87,5738.91,4737.58,6326.44,6703.69,6356.22,5511.36,7423.62,6076.43,5194.74,6096.22,5115.2,4858.08,5041.57,4939.41,5343.41,6302.76,5798.74,5963.69,4489.21,4754.98,5901.88,6848.83,5679.79,6308.61,5272.49,5168.81,5015.86,5782.69,6651.6,7407.96,6177.56,6494.68,5841.37,5931.25,6142.73,7825.87,7465.85,5775.98,6632.92,7000.67,5943.98,6386.09,6564.47,5484.19,4805.71,6615.4,5514.54,6396.95,6273.55,5592.74,5498.54,7205.18,8363.15,7263.47,5169.59,5223.87,5890.24,6777.04,6724.37,7956.31,6007.95,5579.65,5227.3,5455.26,5869.55,6612.03,6061.65,6535.67,"Recr_1994",1994
4729.38,5145.02,3182.38,5064.82,3400.15,4640.75,3273.2,4478.54,4321.84,5242.39,3942.36,3663.87,5366.98,4323.52,4278.31,4182.93,2972.4,3791.03,4061.24,3981.75,3753.39,4221.54,5965.19,3182.01,4621.76,4432.46,3672.86,4198.72,4670.34,4322.79,3367.34,3588.83,4105.43,5376.28,4710.16,5625.03,3334.88,4439.44,3368.22,4117.2,4872.69,3063.41,4141.93,4646.29,4300.8,4438.21,4161.74,5229.95,4382.74,4207.64,4782.24,5526.66,4064.08,4227.29,5334.46,4940.7,4557.32,4559.07,4710.52,3841.38,3525.29,4442.25,4098.17,4947.22,4888.73,3193.84,3602.39,4142.26,3595.23,5893.05,5591.96,3915.19,4529.87,3099.77,4883.01,4254.37,4009.34,5487.52,4994.09,5899.55,4667.97,5070.4,3930.71,3521.82,3142.66,4120.98,3653.67,4383.75,5455.04,2861.9,4019.09,4139.68,4069.53,3944.27,3019.63,4262.88,4787.92,4096.84,4455.97,3923.01,"Recr_1995",1995
8781.61,8407.46,8987.88,6987.41,9574.93,9447.81,8882.92,8299.71,7300.82,8265.61,10012.7,8551.25,7691.06,8803.63,9390.43,9285.54,8267.4,10738.2,7794.13,9366.69,7670.65,9177.04,8414.2,8472.16,7454.32,8337.5,8487.63,7996.32,9146.75,7631.74,8819.73,9657.35,9501.26,9129.24,9637.94,9274.02,9120.46,10921.9,7851.42,8769.83,9367.31,10562.2,9189.44,8743.31,8987.69,9169.72,9839.17,8432.47,8238.83,8162.87,9240.16,8100.31,8782.19,9885.25,9336.55,7839.22,7942.76,9456.84,10028.1,9314.05,11470.9,9192.03,9100.45,7323.88,8714.23,9776.26,9203.73,9897.92,9660.03,9119.79,8071.77,6860.17,7977.1,8744.2,7290.3,8090.71,8610.13,9167.38,9188.58,8338.37,8296.17,9421.67,8161.48,8144.24,7360.71,9406.29,10863.4,7496.81,8070.34,9128.03,8729.59,8809.6,8982.86,8867.93,8636.71,8306.35,9754.54,8283.24,8957.1,9791.43,"Recr_1996",1996
5993.7,6049.18,6544.35,5347.08,6749.41,6739.5,5805.1,6150.16,6884.52,6528.9,5646.05,7082.84,7213.77,5996.91,7136.8,5919.82,6350.69,6100.88,6183.56,5965.92,5769.72,6550.52,5493.27,7053.75,5197.06,6414.02,7214.2,6172.33,5765.29,6093.71,5544.25,5655.84,5677.25,5834.11,5738.93,5874.98,4937.87,6160.5,6897.31,6641.99,6052.58,6547.51,6460.99,5031.47,5795,6310.02,4930.15,5884.88,6145.08,6739.26,6807.19,6014.02,6093.39,4802.78,6405.66,6814.72,7561.91,4174.64,6572.84,5528.83,6870.61,6823.62,5060.7,5311.6,5178.72,6210.52,6792.49,5107.45,5011.67,6948.53,5983.62,5646.01,5639.67,7122.49,5258.31,5637.32,6445.61,5179.3,5214.97,5939.62,5603.95,6084.75,6026.07,5314.11,6339.04,5436.6,5913.65,6296.26,6769.09,7102.29,5276.59,5246.52,5487.43,4865.92,6531.86,5308.34,5856.21,6655.09,6043.63,6214.45,"Recr_1997",1997
