"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
1,4.04641e-05,TRUE,0.0988389,1003.24,0.100648,400.245,451.6563,9796.78941237187
2,0.000103161,TRUE,0.0975393,1011.9,0.0920994,398.626,443.2339,9757.29022522807
3,0.000167618,TRUE,0.0958216,1023.14,0.0922713,396.537,445.6526,9750.36500791122
4,3.21522e-06,TRUE,0.0973801,1012.24,0.100114,397.255,444.6703,9491.95617026293
5,7.1168e-05,TRUE,0.098333,1006.74,0.0971006,402.84,456.8277,9357.28066484249
6,0.000251733,TRUE,0.0992448,999.509,0.100558,400.025,445.7645,9438.94977214749
7,0.000237418,TRUE,0.0973913,1011.68,0.090886,395.145,438.2898,9913.17540184766
8,0.00024945,TRUE,0.102055,984.179,0.0956593,395.678,441.6825,10070.1411248629
9,0.00126978,TRUE,0.0984374,1005.97,0.09179,398.675,446.8537,9850.52468243728
10,2.47686e-05,TRUE,0.0992645,1000.86,0.092968,399.191,445.711,9913.4728015707
11,2.02645e-05,TRUE,0.100291,996.15,0.0979889,401.287,451.9521,9569.24893331612
12,2.1853e-05,TRUE,0.097634,1009.02,0.0905436,398.501,444.6652,9958.28353615773
13,7.80024e-05,TRUE,0.0991245,1003.58,0.0943912,394.227,440.414,9751.43760705396
14,0.000825422,TRUE,0.0986191,1005.74,0.0906318,400.823,452.6191,9747.24539027413
15,0.000281379,TRUE,0.0993589,1000.33,0.101347,400.877,452.2067,9686.22449538025
16,0.000129007,TRUE,0.100063,998.179,0.100131,401.765,460.3881,9602.79998467258
17,0.00453142,TRUE,0.0973993,1014.47,0.0940607,400.673,451.938,9755.43651619321
18,0.000207595,TRUE,0.09844,1006.12,0.0922259,398.003,445.7519,9841.66319848901
19,0.00292466,TRUE,0.0973657,1015.85,0.0939715,395.356,441.0601,9869.15977870585
20,0.000630565,TRUE,0.0968576,1019.77,0.0981332,399.244,450.9149,9333.35666212966
21,0.000149489,TRUE,0.0969863,1014.06,0.103038,402.192,457.5808,9458.69780667892
22,1.21814e-05,TRUE,0.0968615,1017.12,0.0966171,396.75,444.9809,9796.49551309802
23,0.000351989,TRUE,0.0996163,997.947,0.0955712,400.012,452.7886,9944.94837277412
24,0.000658506,TRUE,0.0967137,1016.73,0.0921965,402.717,459.0678,9311.54214048458
25,0.000156669,TRUE,0.0985174,1004.49,0.101822,401.751,454.443,9871.92353035106
26,0.000182056,TRUE,0.0975507,1012.2,0.0946384,398.154,445.9745,9542.87422010707
27,0.0006867,TRUE,0.0991106,1003.3,0.0940599,400.668,451.2106,10015.5082931776
28,0.00179805,TRUE,0.0980059,1007.86,0.104141,399.977,456.7411,9622.31346812607
29,5.99415e-05,TRUE,0.0976469,1009.28,0.0959468,396.073,442.2147,9807.57180995694
30,9.81103e-05,TRUE,0.0982142,1008.23,0.0916249,396.744,441.8819,9679.83369640894
31,0.000233322,TRUE,0.0974881,1010.15,0.0995263,396.278,443.5377,9436.21287358304
32,3.50616e-06,TRUE,0.0992888,1000.84,0.094885,395.523,443.0052,9987.90360228535
33,0.000377314,TRUE,0.0977351,1009.26,0.0935455,397.378,443.8991,9378.076903202
34,7.96241e-06,TRUE,0.0997198,999.032,0.0921643,397.061,446.5295,9911.88677280812
35,4.24048e-05,TRUE,0.0981403,1008.27,0.0928816,401.259,450.324,9235.13028245007
36,8.24993e-05,TRUE,0.0991862,1003.3,0.10049,399.422,448.5102,9518.28533791667
37,0.000203386,TRUE,0.0976133,1010.11,0.0980538,397.403,447.9106,9591.57127876438
38,0.000413205,TRUE,0.0978226,1009.45,0.0936174,402.04,449.7947,9481.80520889357
39,0.00153924,TRUE,0.0976749,1007.28,0.103629,401.445,453.3141,9700.95875181129
