"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
77,0.000769804,TRUE,0.0959576,1010.18,0.0815406,395,405,10005.297683015
78,2.64036e-05,TRUE,0.0965209,1008,0.0868104,395,405,10012.8044709709
79,1.1755e-05,TRUE,0.0971621,1005.83,0.089252,395,405,9929.04917812523
80,0.000806235,TRUE,0.0973377,1002.93,0.089653,395,405,9275.01959368418
81,5.28099e-05,TRUE,0.094003,1021.87,0.0795783,395,405,9767.83379117209
82,0.000402544,TRUE,0.095212,1015.47,0.0844572,395,405,9875.08305137718
83,0.000209231,TRUE,0.0939583,1023.8,0.0814565,395,405,9788.95511497876
84,3.69662e-05,TRUE,0.0953423,1015.36,0.0833371,395,405,9926.96429671804
85,2.40762e-05,TRUE,0.0949027,1018.18,0.0802011,395,405,9646.1099589602
86,7.56023e-05,TRUE,0.0965223,1007.85,0.084272,395,405,9914.56334355757
87,0.00144396,TRUE,0.0956007,1014.88,0.0838149,395,405,9284.67063173151
88,0.000301689,TRUE,0.0967483,1003.1,0.0890596,395,405,10043.2897106493
89,0.000464818,TRUE,0.0955024,1015.41,0.0797113,395,405,9743.83445133668
90,1.02078e-05,TRUE,0.0947312,1017.91,0.088508,395,405,9738.96375188734
91,0.00145975,TRUE,0.0949472,1019.39,0.0807184,395,405,9992.39917033333
92,6.79117e-07,TRUE,0.0950899,1016.73,0.0803251,395,405,9639.5528338633
93,0.0008304,TRUE,0.0953695,1013.81,0.0843089,395,405,9797.86711847999
94,0.000908364,TRUE,0.0948165,1017.05,0.083514,395,405,9410.39303963568
95,4.75696e-06,TRUE,0.0943982,1020.89,0.0827807,395,405,9281.2359390551
96,0.000539463,TRUE,0.0946309,1022.12,0.0858536,395,405,9932.32630505022
97,3.86405e-05,TRUE,0.096857,1005,0.0928747,395,405,9617.21499320317
98,7.92532e-05,TRUE,0.0964389,1009.78,0.0899073,395,405,9441.68746452761
99,0.000201357,TRUE,0.0953054,1016.61,0.0859954,395,405,9425.74448832202
100,2.34641e-05,TRUE,0.0963936,1005.77,0.082899,395,405,9694.84907254868
