"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
58237.96194,58527.96595,58551.35718,57148.33341,56279.50693,56543.03965,58734.46746,59863.72907,58485.2001,58903.63703,56969.07179,59688.91044,58387.34944,57944.45796,57447.53228,57636.91251,58565.14514,58658.87641,58337.66356,56384.32864,57008.76424,58299.05309,59198.51316,55832.89471,57861.12054,57384.53954,59853.78637,57275.88059,58404.61729,57294.92517,56041.27171,59036.75123,56322.66863,58571.43307,54922.30427,56797.4588,57036.69996,56883.52036,58098.47348,56594.76823,59725.26527,58682.93096,58465.2917,57305.52402,57512.88431,56446.90743,57042.74964,57045.82352,57349.79369,60728.70609,57939.95338,57222.28442,57839.96753,55865.2625,58671.68082,58630.7822,57705.58291,53942.43284,57528.63735,58781.83644,58388.36812,57771.21475,55833.07027,58184.78396,58821.0019,57142.95759,59158.97754,58410.51349,57895.12147,59042.96974,56074.1726,58138.74027,57418.82675,56370.14784,54874.0254,56491.71064,57740.71055,58027.44445,56712.10963,58148.57154,57247.88691,57991.90767,59972.26496,57533.00953,58571.02036,57811.48862,57728.77364,57535.1316,58127.50489,59986.07576,55976.3075,57257.95694,58837.52059,58222.23563,56926.29821,59019.72248,56545.23426,58676.69396,60464.70398,57580.82287,1990
57657.78942,58118.80317,58135.00064,56978.19588,55739.15521,56137.10886,57816.26239,59064.46168,57928.36106,58246.05424,56306.28147,59049.21435,57898.62481,57220.423,56789.15917,57103.79233,57993.32694,58006.93888,57628.32234,55898.38439,56508.64036,57480.84407,58741.63824,55561.77611,56915.27643,56816.12122,59071.49299,56477.29216,57765.38934,56340.21091,55540.43161,57853.06912,55953.44723,57934.57813,54297.62433,56252.23025,56310.2502,56480.14376,57777.59736,55927.96476,58639.60661,57967.1386,57758.028,56654.13293,56970.90678,55989.42865,56470.45359,56525.30486,57088.77392,59737.3198,57221.13564,56623.47716,57266.78124,55269.95599,57876.09089,57621.42065,57455.7048,53597.71699,56787.66892,57992.73048,57937.19708,57066.01794,55255.49547,57795.03386,57993.0073,56780.09947,58487.32283,57753.76927,57223.11327,58289.05249,56012.91929,57809.86426,56841.25253,55917.83664,54264.55182,56026.42068,57506.34482,57439.43412,56029.26247,57376.89612,56799.91808,57178.10305,59352.24302,57044.44023,58314.80972,56926.87073,57415.94128,56839.55375,57213.41877,59227.29354,55400.0058,56591.44569,58088.17326,57702.6667,56245.58875,58670.33728,55621.49602,57839.03608,59887.89432,57064.0343,1990.5
57118.14486,57757.06033,57657.06651,56770.45545,55182.8087,55712.86693,56898.45701,58361.06495,57442.9408,57666.93517,55717.93386,58154.75371,57393.44536,56359.46693,56175.199,56559.42023,57525.33361,57418.69339,57000.74303,55336.82747,55997.36222,56738.39724,58200.79367,55335.89235,56064.66275,56065.65524,58243.01138,55813.54329,57221.27025,55529.12332,55223.26392,56647.49268,55513.59519,57389.34588,53809.66294,55850.58542,55756.33735,55998.63427,57503.98323,55465.94586,57733.29544,57358.42552,57218.698,56047.29079,56487.9315,55578.83338,55964.74633,55998.50788,56863.59526,58961.84836,56636.37723,55913.72605,56661.05011,54845.30051,57156.17453,56613.06452,57197.8748,53465.65084,56201.83684,57384.87221,57379.66736,56349.9715,54840.27896,57448.02705,57206.4109,56605.59458,57669.14649,57056.54041,56471.40022,57453.02323,56031.72621,57545.43021,56378.83481,55479.26139,53961.8072,55497.36869,57046.88159,56680.15821,55600.65395,56594.33559,56385.00117,56346.42415,58600.24059,56741.64914,58193.24708,56078.90114,57093.44157,56310.66893,56278.64483,58445.09804,54690.2055,56051.8382,57351.6643,57106.93672,55631.40601,58397.2969,54921.71636,57001.24599,59204.70078,56692.34546,1991
55759.63579,56683.14048,56554.33795,55809.82764,54027.04379,54692.65598,55602.64186,57062.05648,56202.02822,56444.90131,54681.03812,56752.83578,56288.05304,55062.09742,55000.59719,55389.63031,56347.07996,55998.05655,55615.26867,54060.20833,54880.68586,55350.44015,57014.4429,54527.31624,54685.71999,54680.78073,56806.0035,54506.98365,55908.1589,54167.34275,54311.40936,54931.36871,54478.35698,56180.65559,52697.1608,54975.63193,54703.60856,54869.86291,56427.47766,54425.9425,56233.33956,56146.60683,55906.3488,54837.52812,55152.23521,54567.87502,54775.52776,54990.68565,55936.30668,57639.76776,55470.45011,54566.39482,55414.50414,53655.45213,55671.34295,55155.11978,56148.73523,52806.96512,55126.51286,56113.9645,56024.28778,54827.32605,53708.93218,56352.45717,55821.5753,55775.5766,56146.17723,55731.75717,55061.32782,55866.82677,55392.4656,56644.50282,55327.74866,54534.98292,53111.69777,54330.7983,55843.10124,55038.51802,54950.57709,55254.24026,55497.1573,55050.89591,57198.21418,55825.20631,57343.83631,54732.94648,56048.44426,55408.44414,54775.95397,56840.24943,53488.8142,54923.14847,56090.3433,55888.96114,54451.36095,57378.94289,53728.98757,55434.29773,57727.58835,55671.26397,1991.5
54372.84958,55573.68673,55560.38077,54767.10028,53086.79469,53733.62507,54737.50996,55749.85538,54745.11813,55223.0602,53819.69054,55533.72348,55115.04019,53969.21278,53970.42464,54287.30487,55176.12532,54541.31509,54206.25842,53063.92359,53827.1061,54075.55694,55672.73415,53868.41571,53359.69943,53279.92498,55667.88384,53109.60889,54521.86857,52817.66226,53322.14027,53408.98073,53626.94175,55018.12201,51708.7489,54155.85392,53907.51736,53694.25505,55290.442,53385.60291,54924.90835,54908.92974,54404.5896,53631.28061,53834.50656,53510.48283,53672.26208,53902.02312,54774.16674,56223.49626,54357.20125,53230.0284,54053.36343,52394.41888,54015.44537,54078.30777,55205.20613,52233.77182,54253.53742,54953.37361,54589.07589,53281.96986,52619.68996,55281.94013,54397.44498,54996.89692,54834.9907,54225.02276,53856.61427,54271.29798,54581.88572,55666.10483,54296.74742,53684.66859,52375.98246,53200.6604,54605.80228,53641.68045,54565.24937,53832.64466,54692.83688,53827.9755,55856.17913,54878.90212,56349.3361,53662.12076,54984.36641,54600.34051,53365.5335,55215.66622,52356.2367,53837.27179,54906.46539,54699.02625,53369.62838,56434.07975,52712.80787,53972.88392,56269.58579,54583.2932,1992
52326.89704,53775.31107,54025.1774,52947.82407,51824.96843,52559.64693,53431.25049,53833.94665,52754.42075,53329.45404,52314.67841,53523.73085,53363.9831,52384.01692,52336.93718,52564.20307,53477.44743,52605.40504,52261.33959,51806.68631,52342.95144,52313.67112,53647.06935,52601.35247,51570.19208,51248.53306,53983.54187,51252.38251,52630.39402,51178.30464,51789.86728,51595.92908,52252.25655,53282.5633,49965.00527,52666.98756,52491.86085,51810.4217,53501.91059,51782.35415,53147.21659,53283.31642,52425.9482,51759.21197,51828.89837,51989.23897,51948.89042,52261.33434,53088.23396,54339.23287,52538.85435,51512.08876,52166.12354,50725.38892,52076.35398,52521.59911,53545.45423,51097.63982,52744.82037,53269.10287,52757.37763,51462.16393,50843.80049,53515.4415,52378.4526,53454.18731,52972.21577,52238.69761,52163.50227,52382.67846,52917.7042,53868.22422,52654.93941,52309.49747,50900.3144,51506.43292,52812.8102,51780.21061,53425.99908,51942.90057,53393.99226,52042.76631,54022.45182,53163.48134,54545.70706,52071.49447,53366.23331,53084.78997,51675.48544,53049.04482,50584.9884,52070.85444,53187.52598,53157.79872,51704.59641,54719.86518,51228.69341,52032.45279,54255.76009,52667.29668,1992.5
50634.06932,51883.37815,52334.29607,50969.67787,50813.00849,51690.41663,52212.20328,52157.86242,50857.69306,51627.82967,50541.83752,51606.32135,51815.79813,50885.10203,50870.2392,51146.74214,51970.33518,50761.46909,50496.42728,50622.36299,50871.45952,50790.05491,51689.10433,51325.03181,49831.76462,49262.56622,52246.70548,49607.65737,50751.14879,49810.07078,50430.64155,49968.82897,51007.6266,51473.11841,48247.84183,51206.34818,50940.92339,49893.81393,51752.41554,50390.0217,51654.82282,51742.24668,50639.234,50183.91949,49985.50732,50669.83207,50350.07118,50792.86958,51451.8376,52771.59114,50829.76229,49800.13143,50284.84913,49293.73795,50522.95858,51064.63618,52155.79587,49915.2981,51275.933,51768.50261,50982.17965,49942.69229,49151.33049,51951.85557,50662.50516,51936.6456,51289.86238,50530.25522,50637.81149,50626.74951,51139.1292,52212.7517,50976.39091,51004.69351,49447.44294,50005.54096,51044.62997,50236.00655,52169.63124,50173.9117,52065.82317,50275.12074,52494.99649,51329.53967,52876.47202,50475.39454,52002.07195,51499.11743,50186.17962,51375.99171,48836.37174,50453.90856,51545.80756,51726.50598,49959.10901,53073.79439,49987.47078,50420.28827,52495.68385,50854.20283,1993
48576.33616,49580.45526,49947.65052,48510.47299,49228.42206,50044.41855,50285.4081,49943.60956,48554.74142,49533.01101,48266.88617,49039.74005,50028.11894,48853.48206,48929.3,49352.71403,49786.00726,48505.27375,48427.52987,49086.04737,48942.25033,49037.3709,49330.54501,49519.71629,47863.54139,47237.8681,49914.8317,47755.10451,48611.13143,48081.05285,48497.42784,47938.09544,49249.60343,49205.86449,45965.98276,49487.2323,49069.48358,47570.71177,49331.2045,48595.65445,49651.45073,49683.32768,48478.0784,48094.15109,47846.76212,48744.68303,48260.92056,48879.04045,49492.65599,50756.34187,48775.31133,47849.21462,48248.27101,47595.321,48668.9345,49424.31004,50179.61976,48377.86584,49190.1784,49781.53985,48846.3628,48221.64667,47049.17419,49898.54496,48544.1487,49712.84186,49108.56149,48498.19591,48794.95,48635.14557,48912.29348,49963.97501,48654.10181,48987.9641,47619.9069,48129.5878,49103.10155,48468.04194,50227.84985,48026.91477,50087.62662,48126.33631,50498.15091,49068.78768,50736.28144,48312.74031,50166.82695,49461.92462,48360.58663,49552.35109,46747.7812,48321.80192,49464.59466,49964.94927,47813.60291,51080.69708,48120.0582,48328.48553,50318.10758,48736.47513,1993.5
46964.99948,47662.7421,47745.20004,46566.57784,47885.39302,48413.49768,48342.0334,48229.744665,46663.04058,47875.01181,46373.13863,46808.95667,48688.27501,47335.84346,47394.25799,47815.47162,47893.97905,46712.13791,46611.59327,47677.11844,47347.37782,47411.93928,47683.89734,47885.70937,46283.85348,45765.76318,47911.4266,46273.86274,46991.39502,46586.88339,46718.67092,46236.66769,47746.06365,47388.583984,44308.33715,48168.14401,47464.80519,45720.92595,47196.90356,47288.41213,48032.76461,47818.77646,46576.9041,46230.19446,46216.52642,47283.70956,46599.52617,47410.89705,47918.57335,49119.95348,46802.48918,46299.29583,46534.70916,46181.40014,47164.71668,48128.07993,48320.10533,47018.67577,47353.62501,47998.65965,47193.66689,47042.93463,45298.68155,48090.88029,46937.38293,47896.57091,47111.84813,46973.6596,47392.94792,47128.65463,47362.63609,48247.84999,46657.07901,47210.36645,46299.00865,46483.68557,47507.42196,46914.86644,48474.56064,46443.79745,48426.27784,46517.05653,48957.87814,47136.06691,49010.09247,46524.67966,48569.98853,47725.88415,46883.14579,47975.61336,45304.06049,46499.41364,47807.41768,48192.81625,45867.98749,49349.35958,46582.22574,46526.67377,48732.38854,47208.27326,1994
45701.70949,46137.7522,45722.5312,45268.25761,46676.72557,46812.03536,46688.1169,46862.47484,45394.79214,46281.20039,45140.53347,44999.95489,47313.03378,45991.95802,46072.17331,46633.91658,45976.93945,45215.7834,45010.27142,46349.59999,46060.86526,46147.06248,46525.48864,46120.93197,45066.39989,44599.69674,46430.34492,44978.9543,45620.24157,45277.46578,45072.91436,44907.12201,46523.78971,46208.23334,43069.12336,46994.00392,46111.61707,44382.45612,45412.84394,46104.35,46498.84629,46131.87411,45008.1838,44698.67689,44856.17695,45934.78183,45242.15123,46264.81995,46439.02908,47655.96487,45190.00448,44968.87139,45158.20518,44925.41516,45792.53703,46636.53624,46590.34449,45698.48011,45829.19068,46517.59581,45827.4834,46104.52284,43793.01306,46230.13964,45484.19882,46158.9231,45311.52462,45555.7698,46008.11008,45624.06036,46168.95881,46754.29339,45034.25274,45747.41544,45027.15116,45029.61443,46096.35799,45612.38679,46584.18992,45201.94741,46855.365,45327.22888,47311.20801,45540.70263,47052.68569,45003.13275,46946.45223,46341.3453,45514.33733,46821.07272,44424.85491,45179.27053,46482.65891,46337.61765,44318.61028,47472.38282,45109.69987,45162.2633,47280.82921,45941.22801,1994.5
