"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
1,0.000186574,TRUE,0.0964199,1009.22,0.0867257,398.382,447.988,9807.57180995694
2,1.41907e-05,TRUE,0.0956476,1015.25,0.0812116,396.898,439.7339,9780.44242758469
3,5.17751e-05,TRUE,0.0936301,1028.44,0.0811152,394.739,441.9181,9781.02927173549
4,0.00406258,TRUE,0.0952137,1017.88,0.0886234,395.472,440.9441,9495.18398405807
5,0.000131282,TRUE,0.0960109,1011.22,0.0859567,400.424,451.7513,9404.84254529913
6,0.000380881,TRUE,0.0963497,1007.57,0.0868291,398.237,442.2131,9452.2680785257
7,0.000306451,TRUE,0.0945559,1020.12,0.0820002,393.332,434.6318,9929.94283276512
8,7.48884e-05,TRUE,0.098772,992.927,0.0836883,393.912,438.0719,10073.9685056467
9,3.47713e-05,TRUE,0.0957116,1014.17,0.0797865,397.044,443.5961,9827.59967792891
10,0.000869174,TRUE,0.0965973,1006.44,0.0815102,397.501,442.2183,9940.77237147922
11,0.00141521,TRUE,0.0972527,1003.82,0.0851098,399.308,447.9586,9593.39385044617
12,6.84834e-05,TRUE,0.0956403,1012.43,0.0794727,396.525,440.7045,9992.19932434838
13,7.90254e-05,TRUE,0.0966617,1009.01,0.0846628,392.584,437.0717,9765.58744773951
14,1.74178e-05,TRUE,0.09557,1014.66,0.078654,398.496,447.8016,9751.14506831386
15,0.000183635,TRUE,0.0968624,1006.5,0.0878974,398.891,448.1107,9690.68118360783
16,8.63661e-06,TRUE,0.0976716,1003.73,0.0866906,399.72,456.1182,9621.35128488923
17,0.000113595,TRUE,0.0952394,1016.73,0.0829583,398.232,446.8939,9859.78852896451
18,0.000519023,TRUE,0.0957925,1013.1,0.0800588,396.209,442.3107,9859.59133516586
19,0.00158974,TRUE,0.0942926,1025.13,0.0818137,393.865,437.9792,9854.26859311458
20,0.000635217,TRUE,0.0954346,1019.38,0.0889048,397.3,446.9686,9409.26386022304
21,4.93627e-06,TRUE,0.0961406,1009.9,0.0887464,400.291,453.684,9571.54582867654
22,0.000401432,TRUE,0.0946352,1022.28,0.0838783,394.872,441.155,9848.94872456807
23,3.46061e-05,TRUE,0.0964534,1008.98,0.0826907,397.947,448.524,9893.17099878519
24,2.45671e-05,TRUE,0.0943456,1022.28,0.0802262,400.617,454.8041,9330.37046581468
25,0.000154821,TRUE,0.0950495,1016.23,0.0876644,399.722,450.2897,9844.81303465942
26,0.00100574,TRUE,0.0952048,1016.29,0.0835024,396.108,441.9104,9608.6594796275
27,1.60709e-05,TRUE,0.0968731,1008.16,0.083118,398.665,447.0195,10047.0064153902
28,0.00161178,TRUE,0.0961347,1009.75,0.0877818,397.727,452.3569,9680.12409577581
29,0.00110219,TRUE,0.0951554,1014.83,0.0840696,394.035,438.1946,9868.66633305316
30,0.000591787,TRUE,0.0955614,1013.22,0.0812561,395.026,438.3439,9731.37032198351
31,0.000707135,TRUE,0.0948322,1017.81,0.0863372,394.486,439.8755,9438.57222170766
32,0.00141228,TRUE,0.0971836,1004.27,0.0834459,393.295,438.3703,10053.438557562
33,0.00044076,TRUE,0.0950219,1016.7,0.0811811,395.43,439.8556,9393.2817003456
34,1.7195e-05,TRUE,0.0961365,1010.44,0.0795815,395.573,443.4584,9870.04804305723
35,9.08096e-05,TRUE,0.0955471,1014.14,0.0831054,399.359,446.5458,9267.69522171302
36,8.46758e-06,TRUE,0.0967847,1007.79,0.0893938,397.597,444.7034,9560.64048365955
37,0.000120944,TRUE,0.0960676,1011.65,0.0869415,395.461,444.0649,9637.9142491652
38,0.000252476,TRUE,0.0952769,1016.94,0.0835254,399.776,445.4745,9488.16014705007
39,1.67687e-06,TRUE,0.0952847,1013.37,0.0906591,399.167,448.7197,9720.76890715326
40,6.91963e-05,TRUE,0.0949656,1018.43,0.0828705,400.146,448.5752,9603.28013667551
41,0.000218435,TRUE,0.0955507,1015.59,0.0792935,395.293,443.8117,10164.4335603581
42,8.25991e-05,TRUE,0.0956938,1014.87,0.0873325,399.482,451.6094,9897.82188202656
